,idx,target,captions,path
34,34,1,there is a bird that is sitting on the ground in the grass,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg
35,35,1,there is a bird that is standing in the grass by the rocks,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg
36,36,1,arafed bird flying in the air with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg
37,37,1,there is a bird that is sitting in the dirt,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg
38,38,1,araffe flying in the sky with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg
39,39,1,araffe flying in the sky with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg
40,40,1,arafed bird with a white head and black beak,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg
41,41,1,araffe standing in the grass with a white and black bird,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg
42,42,1,there is a bird that is sitting on the ground in the grass,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg
43,43,1,there is a bird that is swimming in the water with a fish,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg
44,44,1,araffe flying in the sky with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg
45,45,1,there is a white bird standing on the grass with a black and white bird,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg
46,46,1,there is a bird flying in the sky with a white and black wing,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg
47,47,1,arafed white bird with orange beak and black eyes,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg
48,48,1,there is a bird flying over the water with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg
49,49,1,there is a bird that is flying in the sky with a tree in the background,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg
50,50,2,there is a bird that is floating in the water,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg
51,51,2,arafed bird flying over the ocean with a cloudy sky,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg
52,52,2,there is a bird standing on the grass by the water,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg
53,53,2,there is a bird flying over the water with a fish in it's beak,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg
54,54,2,there is a man holding a bird in his arms,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg
55,55,2,there is a bird flying over the ocean with a bird in the background,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg
56,56,2,there are two birds flying over the ocean waves,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0063_1101.jpg
57,57,2,a close up of a bird on a hill near a body of water,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0070_796346.jpg
58,58,2,there is a bird flying in the sky with a cloudy background,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg
59,59,2,arafed bird flying in the sky with a fish in its beak,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg
60,60,2,there is a bird standing on the ground in the grass,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg
61,61,2,arafed bird with a black beak and a white eye,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0045_1162.jpg
62,62,2,there is a bird that is sitting on a rock in the grass,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0073_1171.jpg
63,63,2,araffe flying over the ocean with a blue sky in the background,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0074_1221.jpg
64,64,2,arafed seabird flying over the ocean with a white sky,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0021_796339.jpg
65,65,2,arafive bird standing on a cliff overlooking the ocean,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0064_796343.jpg
66,66,2,there is a bird flying over the water with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0017_796349.jpg
67,67,2,there is a bird that is flying in the sky with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0075_796352.jpg
68,68,2,there is a bird flying in the sky with a cloudy background,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0068_796353.jpg
69,69,2,arafed bird flying over the ocean with a blue sky in the background,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0057_796354.jpg
70,70,2,arafed bird flying over the ocean with blue water in the background,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0058_796360.jpg
71,71,2,arafed bird flying in the sky with a long beak,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0025_796361.jpg
72,72,2,arafed bird flying in the sky with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0041_796364.jpg
73,73,2,there is a bird that is sitting on a rock in the grass,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0072_796371.jpg
74,74,2,there is a bird that is flying in the sky with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/003.Sooty_Albatross/Sooty_Albatross_0014_796373.jpg
75,75,3,there is a bird that is sitting on a branch in the tree,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0033_1494.jpg
76,76,3,there is a black bird standing in the grass on the ground,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0069_1546.jpg
77,77,3,there is a black bird sitting on a branch of a palm tree,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0071_1559.jpg
78,78,3,there is a black bird sitting on a tree branch,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0105_1562.jpg
79,79,3,there is a black bird sitting on a rock in the grass,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0090_1567.jpg
80,80,3,there is a black bird sitting on a branch of a tree,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0019_1585.jpg
81,81,3,there is a black bird sitting on a tree branch,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0036_1604.jpg
82,82,3,there is a black bird sitting on a wooden post,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0085_1612.jpg
83,83,3,there is a black bird sitting on a barbed wire fence,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0018_1613.jpg
84,84,3,there is a bird that is sitting on a branch in the tree,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0007_1615.jpg
85,85,3,there is a black bird sitting on top of a tree,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0051_1650.jpg
86,86,3,there is a black bird sitting on a branch of a tree,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0015_1653.jpg
87,87,3,there is a black bird sitting on a tree branch in the wild,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0076_1661.jpg
88,88,3,there is a black bird sitting on a branch of a tree,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0002_1670.jpg
89,89,3,there is a black bird sitting on a branch in the bushes,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg
90,90,3,there is a black bird standing on the ground in the leaves,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0047_1706.jpg
91,91,3,there is a black bird sitting on a branch of a tree,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0077_1724.jpg
92,92,3,there is a small black bird standing on a cement ledge,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0091_1728.jpg
93,93,3,there is a black bird sitting on top of a tree stump,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0044_1731.jpg
94,94,3,there is a black bird sitting on a branch of a plant,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0023_1485.jpg
95,95,3,there is a black bird sitting on a branch in the woods,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0004_1528.jpg
96,96,3,there is a black bird sitting on a white fence,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0056_1493.jpg
97,97,3,there is a black bird sitting on a branch of a tree,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0058_1751.jpg
98,98,3,there is a black bird sitting on a barbed wire fence,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0027_1754.jpg
99,99,3,there is a black bird standing in the grass near a pile of dead leaves,/shared/lisabdunlap/data/CUB_200_2011/images/004.Groove_billed_Ani/Groove_Billed_Ani_0055_1501.jpg
100,100,4,there is a bird that is standing on a rock with a mohawk,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0061_794904.jpg
101,101,4,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0018_1817.jpg
102,102,4,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0010_794907.jpg
103,103,4,there is a black bird with a red beak and a black head,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0029_1824.jpg
104,104,4,there is a bird that is sitting on a rock with a mohawk,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0013_794914.jpg
105,105,4,there is a black bird with a red beak sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0047_794918.jpg
106,106,4,there is a bird that is sitting on a rock with a mohawk,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0005_794922.jpg
107,107,4,arafed bird with orange beak sitting on rock with blue sky in background,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0019_794925.jpg
108,108,4,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0032_794931.jpg
109,109,4,there is a bird with a black head and yellow beak,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0057_794932.jpg
110,110,4,there is a bird with a long beak sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0045_794940.jpg
111,111,4,there is a bird with a red beak sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0001_794941.jpg
112,112,4,there is a black bird with a orange beak sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0039_794944.jpg
113,113,4,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0052_794952.jpg
114,114,4,there is a bird with a mohawk sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0012_794960.jpg
115,115,4,there is a bird that is sitting on a rock with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0003_794962.jpg
116,116,4,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0033_794964.jpg
117,117,4,there is a bird with a red beak and a black body,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0062_794968.jpg
118,118,4,there is a bird flying over the water with a red beak,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0073_785248.jpg
119,119,4,there is a bird that is sitting on a rock near a waterfall,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0067_785249.jpg
120,120,4,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0066_785251.jpg
121,121,4,there is a bird that is sitting on a rock with a beak,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0076_785252.jpg
122,122,4,there is a bird with a red beak and a black tail,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0071_785255.jpg
123,123,4,there is a bird that is sitting on a rock in the grass,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0077_785257.jpg
124,124,4,there are three birds sitting on a rock with moss growing on it,/shared/lisabdunlap/data/CUB_200_2011/images/005.Crested_Auklet/Crested_Auklet_0069_785258.jpg
125,125,5,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0035_1888.jpg
126,126,5,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0050_1924.jpg
127,127,5,there is a black bird sitting on a rock in the woods,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0058_1931.jpg
128,128,5,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0016_1903.jpg
129,129,5,there is a bird sitting on a rock on the beach,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0040_795100.jpg
130,130,5,there is a small bird sitting on a rock near a waterfall,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0015_795065.jpg
131,131,5,there is a bird sitting on a rock with its mouth open,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0026_795066.jpg
132,132,5,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0043_795067.jpg
133,133,5,there is a black and white bird sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0045_795069.jpg
134,134,5,there is a small bird sitting on a rock in the sun,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0008_795071.jpg
135,135,5,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0012_795074.jpg
136,136,5,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0018_795077.jpg
137,137,5,there is a bird sitting on a rock with a cloudy sky in the background,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0020_795080.jpg
138,138,5,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0017_795084.jpg
139,139,5,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0052_795088.jpg
140,140,5,there is a bird sitting on a rock with a blue sky in the background,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0027_795091.jpg
141,141,5,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0010_795092.jpg
142,142,5,arafed bird sitting on a rock with a gray sky in the background,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0060_795095.jpg
143,143,5,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0034_795096.jpg
144,144,5,there is a bird sitting on a rock with its mouth open,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0042_1874.jpg
145,145,5,arafed bird sitting on a rock with a gray background,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0011_795109.jpg
146,146,5,there is a small bird sitting on a rock in the woods,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0030_795116.jpg
147,147,5,there is a bird that is sitting on a post,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0024_795120.jpg
148,148,5,there is a bird that is flying in the sky with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0029_795122.jpg
149,149,5,there is a black and white bird with a red beak,/shared/lisabdunlap/data/CUB_200_2011/images/006.Least_Auklet/Least_Auklet_0007_795123.jpg
150,150,6,there is a bird sitting on a rock with its mouth open,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0004_795921.jpg
151,151,6,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0027_795925.jpg
152,152,6,there is a bird with a red beak and a black body,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0056_795926.jpg
153,153,6,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0012_795927.jpg
154,154,6,there is a bird that is sitting on a rock with a plant,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0007_795932.jpg
155,155,6,there is a bird that is sitting on a rock in the grass,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0041_795933.jpg
156,156,6,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0035_795934.jpg
157,157,6,there is a bird sitting on a rock with a red beak,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0038_795935.jpg
158,158,6,there is a black and white bird sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0069_795936.jpg
159,159,6,there is a small bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0073_795939.jpg
160,160,6,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0036_795943.jpg
161,161,6,there is a bird that is sitting on a rock by the water,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0028_795944.jpg
162,162,6,there is a bird that is sitting on a rock,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0043_795948.jpg
163,163,6,there is a small bird sitting on a rock wall,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0045_795953.jpg
164,164,6,there is a bird that is sitting on a concrete ledge,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0047_795956.jpg
165,165,6,there is a bird sitting on a rock with a blue sky in the background,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0062_795958.jpg
166,166,6,there is a bird that is sitting on a rock with moss,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0042_795961.jpg
167,167,6,there is a bird that is sitting on a rock with a red beak,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0080_795965.jpg
168,168,6,there is a bird that is sitting on a rock in the grass,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0065_795969.jpg
169,169,6,there is a bird that is sitting on a rock by the water,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0001_795972.jpg
170,170,6,there is a bird that is sitting on a rock with moss,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0059_795973.jpg
171,171,6,there is a bird sitting on a rock with a gray background,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0025_795975.jpg
172,172,6,there is a bird with a red beak and a black head,/shared/lisabdunlap/data/CUB_200_2011/images/007.Parakeet_Auklet/Parakeet_Auklet_0074_795976.jpg
